[INFO  13:32:49] Start training with parametrization:
{
    "batch_size": 100,
    "beta": 1,
    "c_energy": "squared_error",
    "dataset": "mnist",
    "dimensions": [
        784,
        1000,
        10
    ],
    "dynamics": {
        "dt": 0.1,
        "n_relax": 50,
        "tau": 1,
        "tol": 0
    },
    "energy": "restr_hopfield",
    "epochs": 100,
    "fast_ff_init": false,
    "learning_rate": 0.001,
    "log_dir": "",
    "nonlinearity": "sigmoid",
    "optimizer": "adam",
    "seed": 2019
}
[INFO  14:11:07] 30%:	E: -6782.85	dE -3.04	batch_acc 0.9400
[INFO  14:11:39] 40%:	E: -7098.56	dE -2.21	batch_acc 0.9900
[INFO  14:12:12] 50%:	E: -6939.76	dE -3.10	batch_acc 0.9500
[INFO  14:12:44] 60%:	E: -7086.55	dE -4.51	batch_acc 0.8900
[INFO  14:13:16] 70%:	E: -6946.19	dE -2.80	batch_acc 0.9600
[INFO  14:13:48] 80%:	E: -7058.74	dE -3.00	batch_acc 0.9300
[INFO  14:14:20] 90%:	E: -7001.73	dE -2.91	batch_acc 0.9500
[INFO  14:15:17] epoch: 7 	 test_acc: 0.9358 	 mean_E: -7240.2416
[INFO  14:15:18] 0%:	E: -6948.89	dE -4.10	batch_acc 0.9000
[INFO  14:15:51] 10%:	E: -7547.12	dE -4.09	batch_acc 0.9100
[INFO  14:16:23] 20%:	E: -7220.48	dE -3.12	batch_acc 0.9400
[INFO  14:16:55] 30%:	E: -7283.71	dE -2.36	batch_acc 0.9700
[INFO  14:17:27] 40%:	E: -6772.92	dE -1.91	batch_acc 0.9700
[INFO  14:17:59] 50%:	E: -7399.12	dE -4.06	batch_acc 0.9100
[INFO  14:18:32] 60%:	E: -7174.83	dE -3.67	batch_acc 0.9100
[INFO  14:19:04] 70%:	E: -7001.55	dE -2.60	batch_acc 0.9500
[INFO  14:19:36] 80%:	E: -7378.48	dE -2.14	batch_acc 0.9800
[INFO  14:20:08] 90%:	E: -7265.86	dE -3.37	batch_acc 0.9300
[INFO  14:21:05] epoch: 8 	 test_acc: 0.9405 	 mean_E: -7453.9356
[INFO  14:21:06] 0%:	E: -7110.51	dE -2.24	batch_acc 0.9600
[INFO  14:21:38] 10%:	E: -7320.36	dE -2.39	batch_acc 0.9700
[INFO  14:22:11] 20%:	E: -7369.82	dE -3.04	batch_acc 0.9600
[INFO  14:22:43] 30%:	E: -7386.66	dE -2.77	batch_acc 0.9500
[INFO  14:23:15] 40%:	E: -7461.53	dE -2.55	batch_acc 0.9600
[INFO  14:23:47] 50%:	E: -7524.76	dE -3.42	batch_acc 0.9300
[INFO  14:24:19] 60%:	E: -7565.85	dE -1.91	batch_acc 0.9800
[INFO  14:24:52] 70%:	E: -7281.90	dE -3.84	batch_acc 0.9300
[INFO  14:25:24] 80%:	E: -7216.32	dE -3.07	batch_acc 0.9300
[INFO  14:25:56] 90%:	E: -7921.17	dE -3.42	batch_acc 0.9200
[INFO  14:26:52] epoch: 9 	 test_acc: 0.9441 	 mean_E: -7639.3934
[INFO  14:26:53] 0%:	E: -7435.66	dE -2.69	batch_acc 0.9200
[INFO  14:27:25] 10%:	E: -7782.77	dE -3.14	batch_acc 0.9300
[INFO  14:27:58] 20%:	E: -7399.83	dE -2.47	batch_acc 0.9500
[INFO  14:28:30] 30%:	E: -7474.91	dE -2.22	batch_acc 0.9500
[INFO  14:29:02] 40%:	E: -7631.49	dE -2.71	batch_acc 0.9300
[INFO  14:29:34] 50%:	E: -7317.01	dE -4.40	batch_acc 0.9000
[INFO  14:30:06] 60%:	E: -7913.84	dE -2.83	batch_acc 0.9500
[INFO  14:30:39] 70%:	E: -7527.51	dE -2.17	batch_acc 0.9500
[INFO  14:31:11] 80%:	E: -7758.08	dE -3.86	batch_acc 0.8800
[INFO  14:31:43] 90%:	E: -7422.73	dE -3.60	batch_acc 0.9400
[INFO  14:32:40] epoch: 10 	 test_acc: 0.9475 	 mean_E: -7788.0300
[INFO  14:32:41] 0%:	E: -7789.95	dE -3.06	batch_acc 0.9500
[INFO  14:33:13] 10%:	E: -7217.94	dE -2.33	batch_acc 0.9700
[INFO  14:33:45] 20%:	E: -7741.18	dE -2.21	batch_acc 0.9800
[INFO  14:34:17] 30%:	E: -8051.73	dE -2.82	batch_acc 0.9500
[INFO  14:34:49] 40%:	E: -7718.39	dE -2.99	batch_acc 0.9500
[INFO  14:35:22] 50%:	E: -7879.94	dE -2.12	batch_acc 0.9900
[INFO  14:35:54] 60%:	E: -7882.84	dE -2.08	batch_acc 0.9700
[INFO  14:36:26] 70%:	E: -7988.09	dE -3.00	batch_acc 0.9500
[INFO  14:36:58] 80%:	E: -8119.49	dE -2.60	batch_acc 0.9500
[INFO  14:37:30] 90%:	E: -7586.44	dE -2.37	batch_acc 0.9600
[INFO  14:38:27] epoch: 11 	 test_acc: 0.9509 	 mean_E: -7986.7214
[INFO  14:38:28] 0%:	E: -7796.65	dE -2.55	batch_acc 0.9600
[INFO  14:39:00] 10%:	E: -8044.61	dE -2.33	batch_acc 0.9500
[INFO  14:39:32] 20%:	E: -8126.09	dE -2.76	batch_acc 0.9400
[INFO  14:40:05] 30%:	E: -7876.54	dE -2.11	batch_acc 0.9600
[INFO  14:40:37] 40%:	E: -7858.04	dE -2.32	batch_acc 0.9600
[INFO  14:41:09] 50%:	E: -7879.77	dE -3.42	batch_acc 0.9400
[INFO  14:41:41] 60%:	E: -7879.78	dE -3.35	batch_acc 0.9300
[INFO  14:42:13] 70%:	E: -7756.55	dE -1.91	batch_acc 0.9600
[INFO  14:42:45] 80%:	E: -8112.30	dE -2.86	batch_acc 0.9400
[INFO  14:43:17] 90%:	E: -7851.28	dE -2.70	batch_acc 0.9500
[INFO  14:44:14] epoch: 12 	 test_acc: 0.9547 	 mean_E: -8198.5410
[INFO  14:44:15] 0%:	E: -8189.14	dE -3.00	batch_acc 0.9400
[INFO  14:44:47] 10%:	E: -8003.25	dE -2.29	batch_acc 0.9500
[INFO  14:45:19] 20%:	E: -7934.57	dE -3.27	batch_acc 0.9300
[INFO  14:45:51] 30%:	E: -7951.63	dE -2.12	batch_acc 0.9600
[INFO  14:46:23] 40%:	E: -8039.83	dE -1.67	batch_acc 0.9900
[INFO  14:46:56] 50%:	E: -8320.19	dE -2.22	batch_acc 0.9800
[INFO  14:47:28] 60%:	E: -8364.90	dE -1.81	batch_acc 0.9800
[INFO  14:48:00] 70%:	E: -7969.28	dE -2.99	batch_acc 0.9400
[INFO  14:48:32] 80%:	E: -8238.85	dE -2.50	batch_acc 0.9300
[INFO  14:49:04] 90%:	E: -8203.04	dE -2.57	batch_acc 0.9600
[INFO  14:50:01] epoch: 13 	 test_acc: 0.9557 	 mean_E: -8413.0868
[INFO  14:50:02] 0%:	E: -8309.18	dE -1.50	batch_acc 0.9900
[INFO  14:50:34] 10%:	E: -8307.71	dE -1.75	batch_acc 0.9800
[INFO  14:51:06] 20%:	E: -8442.99	dE -2.24	batch_acc 0.9600
[INFO  14:51:38] 30%:	E: -8317.57	dE -1.86	batch_acc 0.9700
[INFO  14:52:11] 40%:	E: -8504.99	dE -1.70	batch_acc 0.9900
[INFO  14:52:43] 50%:	E: -8256.81	dE -2.02	batch_acc 0.9800
[INFO  14:53:15] 60%:	E: -8170.45	dE -2.40	batch_acc 0.9600
[INFO  14:53:47] 70%:	E: -8386.26	dE -3.04	batch_acc 0.9600
[INFO  14:54:20] 80%:	E: -8427.05	dE -2.39	batch_acc 0.9300
[INFO  14:54:52] 90%:	E: -8287.65	dE -2.20	batch_acc 0.9500
[INFO  14:55:49] epoch: 14 	 test_acc: 0.9583 	 mean_E: -8598.1863
[INFO  14:55:49] 0%:	E: -8492.61	dE -2.11	batch_acc 0.9600
[INFO  14:56:22] 10%:	E: -8493.87	dE -3.02	batch_acc 0.9400
[INFO  14:56:54] 20%:	E: -8317.41	dE -2.17	batch_acc 0.9800
[INFO  14:57:26] 30%:	E: -8633.27	dE -1.83	batch_acc 0.9800
[INFO  14:57:58] 40%:	E: -8679.27	dE -2.16	batch_acc 0.9700
[INFO  14:58:30] 50%:	E: -8708.33	dE -1.91	batch_acc 0.9800
[INFO  14:59:03] 60%:	E: -8791.39	dE -1.98	batch_acc 0.9700
[INFO  14:59:35] 70%:	E: -8868.68	dE -1.86	batch_acc 0.9600
[INFO  15:00:07] 80%:	E: -8605.10	dE -1.83	batch_acc 0.9800
[INFO  15:00:39] 90%:	E: -8492.96	dE -2.72	batch_acc 0.9700
[INFO  15:01:36] epoch: 15 	 test_acc: 0.9590 	 mean_E: -8818.9025
[INFO  15:01:37] 0%:	E: -8568.00	dE -1.09	batch_acc 1.0000
[INFO  15:02:09] 10%:	E: -8571.77	dE -2.26	batch_acc 0.9600
[INFO  15:02:41] 20%:	E: -8802.59	dE -1.92	batch_acc 0.9700
[INFO  15:03:13] 30%:	E: -8722.24	dE -2.61	batch_acc 0.9400
[INFO  15:03:45] 40%:	E: -8889.52	dE -1.86	batch_acc 0.9600
[INFO  15:04:17] 50%:	E: -8333.73	dE -2.05	batch_acc 0.9700
[INFO  15:04:50] 60%:	E: -9000.11	dE -1.75	batch_acc 0.9900
[INFO  15:05:22] 70%:	E: -8693.07	dE -1.79	batch_acc 0.9800
[INFO  15:05:54] 80%:	E: -8580.50	dE -2.26	batch_acc 0.9400
[INFO  15:06:26] 90%:	E: -8989.96	dE -2.36	batch_acc 0.9600
[INFO  15:07:22] epoch: 16 	 test_acc: 0.9617 	 mean_E: -9029.5996
[INFO  15:07:23] 0%:	E: -8906.02	dE -1.98	batch_acc 0.9800
[INFO  15:07:55] 10%:	E: -9163.17	dE -2.65	batch_acc 0.9400
[INFO  15:08:28] 20%:	E: -8886.19	dE -1.33	batch_acc 0.9900
[INFO  15:09:00] 30%:	E: -8792.55	dE -1.11	batch_acc 1.0000
[INFO  15:09:32] 40%:	E: -8961.79	dE -1.56	batch_acc 0.9800
[INFO  15:10:04] 50%:	E: -9116.17	dE -2.33	batch_acc 0.9500
[INFO  15:10:36] 60%:	E: -8863.05	dE -2.49	batch_acc 0.9600
[INFO  15:11:09] 70%:	E: -8884.40	dE -1.20	batch_acc 1.0000
[INFO  15:11:41] 80%:	E: -8953.05	dE -2.62	batch_acc 0.9400
[INFO  15:12:13] 90%:	E: -9135.65	dE -2.29	batch_acc 0.9600
[INFO  15:13:09] epoch: 17 	 test_acc: 0.9632 	 mean_E: -9213.0574
[INFO  15:13:10] 0%:	E: -9332.30	dE -2.46	batch_acc 0.9500
[INFO  15:13:42] 10%:	E: -9152.45	dE -1.44	batch_acc 1.0000
[INFO  15:14:14] 20%:	E: -9128.25	dE -2.43	batch_acc 0.9500
[INFO  15:14:46] 30%:	E: -9053.93	dE -1.96	batch_acc 0.9600
[INFO  15:15:19] 40%:	E: -9180.76	dE -2.39	batch_acc 0.9500
[INFO  15:15:51] 50%:	E: -9116.63	dE -2.76	batch_acc 0.9400
[INFO  15:16:23] 60%:	E: -9284.27	dE -3.03	batch_acc 0.9500
[INFO  15:16:55] 70%:	E: -9185.63	dE -3.04	batch_acc 0.9500
[INFO  15:17:27] 80%:	E: -9271.82	dE -2.38	batch_acc 0.9500
[INFO  15:17:59] 90%:	E: -9344.25	dE -1.95	batch_acc 0.9800
[INFO  15:18:56] epoch: 18 	 test_acc: 0.9635 	 mean_E: -9378.7330
[INFO  15:18:57] 0%:	E: -9281.50	dE -1.93	batch_acc 0.9900
[INFO  15:19:29] 10%:	E: -8979.67	dE -1.96	batch_acc 0.9600
[INFO  15:20:01] 20%:	E: -9404.45	dE -2.02	batch_acc 0.9800
[INFO  15:20:33] 30%:	E: -9465.47	dE -1.53	batch_acc 0.9800
[INFO  15:21:05] 40%:	E: -9420.92	dE -1.46	batch_acc 0.9900
[INFO  15:21:37] 50%:	E: -9757.10	dE -1.64	batch_acc 0.9900
[INFO  15:22:10] 60%:	E: -9211.88	dE -1.66	batch_acc 1.0000
[INFO  15:22:42] 70%:	E: -9527.80	dE -1.16	batch_acc 0.9900
[INFO  15:23:14] 80%:	E: -9506.72	dE -1.59	batch_acc 0.9600
[INFO  15:23:46] 90%:	E: -9410.40	dE -2.06	batch_acc 0.9600
[INFO  15:24:42] epoch: 19 	 test_acc: 0.9672 	 mean_E: -9662.9299
[INFO  15:24:43] 0%:	E: -9517.24	dE -1.98	batch_acc 0.9800
[INFO  15:25:16] 10%:	E: -9737.41	dE -1.36	batch_acc 0.9900
[INFO  15:25:48] 20%:	E: -9463.24	dE -1.75	batch_acc 0.9600
[INFO  15:26:20] 30%:	E: -9730.35	dE -1.77	batch_acc 0.9800
[INFO  15:26:52] 40%:	E: -9581.03	dE -1.84	batch_acc 0.9600
[INFO  15:27:24] 50%:	E: -9511.90	dE -2.21	batch_acc 0.9400
[INFO  15:27:56] 60%:	E: -9732.76	dE -1.00	batch_acc 1.0000
[INFO  15:28:28] 70%:	E: -9296.41	dE -1.37	batch_acc 0.9900
[INFO  15:29:00] 80%:	E: -9306.72	dE -1.89	batch_acc 0.9700
[INFO  15:29:33] 90%:	E: -9873.51	dE -1.05	batch_acc 1.0000
[INFO  15:30:29] epoch: 20 	 test_acc: 0.9665 	 mean_E: -9791.5872
[INFO  15:30:30] 0%:	E: -9653.92	dE -1.79	batch_acc 0.9800
[INFO  15:31:02] 10%:	E: -9821.70	dE -1.14	batch_acc 0.9900
[INFO  15:31:34] 20%:	E: -9962.85	dE -1.56	batch_acc 0.9800
